request_id,staff_id,assigned_dt,completed_dt,actual_minutes
R0000001,S029,2025-11-15 11:34:57,,
R0000002,S018,2025-11-15 19:59:22,2025-11-15 20:34:22,35.0
R0000003,S013,2025-11-15 08:16:23,2025-11-15 09:13:23,43.0
R0000004,S027,2025-11-15 22:53:24,,
R0000005,S004,2025-11-15 11:52:10,2025-11-15 12:01:10,13.0
R0000006,S020,2025-11-15 22:05:30,2025-11-15 22:31:30,19.0
R0000007,S003,2025-11-15 20:26:14,2025-11-15 20:40:14,13.0
R0000008,S010,2025-11-15 17:27:59,2025-11-15 17:08:59,13.0
R0000009,S018,2025-11-15 21:49:47,2025-11-15 21:52:47,31.0
R0000010,S023,2025-11-15 13:37:21,2025-11-15 13:49:21,32.0
R0000011,S016,2025-11-15 21:37:46,2025-11-15 21:51:46,20.0
R0000012,S027,2025-11-15 16:16:28,2025-11-15 16:22:28,21.0
R0000013,S010,2025-11-15 19:58:44,2025-11-15 20:13:44,38.0
R0000014,S033,2025-11-15 19:27:55,2025-11-15 19:37:55,22.0
R0000015,S029,2025-11-15 22:19:10,,
R0000016,S006,2025-11-15 08:29:59,2025-11-15 08:14:59,9.0
R0000017,S027,2025-11-15 19:59:26,2025-11-15 19:57:26,23.0
R0000018,S023,2025-11-15 19:47:51,2025-11-15 20:01:51,21.0
R0000019,S025,2025-11-15 17:48:37,2025-11-15 18:00:37,25.0
R0000020,S020,2025-11-15 20:07:14,2025-11-15 20:45:14,35.0
R0000021,S021,2025-11-15 19:40:44,2025-11-15 19:14:44,13.0
R0000022,S015,2025-11-15 11:41:05,2025-11-15 11:40:05,32.0
R0000023,S021,2025-11-15 14:24:45,,
R0000024,S003,2025-11-15 12:45:20,2025-11-15 13:55:20,48.0
R0000025,S004,2025-11-15 17:19:40,2025-11-15 18:12:40,66.0
R0000026,S022,2025-11-15 18:35:10,2025-11-15 18:51:10,32.0
R0000027,S025,2025-11-15 11:25:06,2025-11-15 12:11:06,22.0
R0000028,S023,2025-11-15 18:29:13,,33.0
R0000029,S010,2025-11-15 12:32:48,2025-11-15 12:45:48,24.0
R0000030,S011,2025-11-15 13:40:28,2025-11-15 13:53:28,8.0
R0000031,S006,2025-11-15 18:43:41,2025-11-15 19:03:41,10.0
R0000032,S006,2025-11-15 07:58:18,,
