request_id,request_dt,service_type,priority,expected_minutes,due_dt,status,completed_dt
R0000001,2025-11-15 11:15:57,F&B,Standard,25,2025-11-15 12:48:57,Open,
R0000002,2025-11-15 19:34:22,Housekeeping,Standard,35,2025-11-15 22:03:22,Completed,2025-11-15 20:34:22
R0000003,2025-11-15 08:08:23,Housekeeping,Standard,35,2025-11-15 09:48:23,Completed,2025-11-15 09:13:23
R0000004,2025-11-15 22:09:24,F&B,Standard,25,2025-11-16 00:27:24,Open,
R0000005,2025-11-15 11:43:10,FrontDesk,Standard,12,2025-11-15 13:05:10,Completed,2025-11-15 12:01:10
R0000006,2025-11-15 21:54:30,Housekeeping,Standard,35,2025-11-15 23:42:30,Completed,2025-11-15 22:31:30
R0000007,2025-11-15 20:02:14,FrontDesk,Standard,12,2025-11-15 22:44:14,Completed,2025-11-15 20:40:14
R0000008,2025-11-15 16:43:59,Housekeeping,Standard,35,2025-11-15 19:13:59,Completed,2025-11-15 17:08:59
R0000009,2025-11-15 21:14:47,Housekeeping,Standard,35,2025-11-15 22:43:47,Completed,2025-11-15 21:52:47
R0000010,2025-11-15 13:11:21,F&B,Standard,25,2025-11-15 15:28:21,Completed,2025-11-15 13:49:21
R0000011,2025-11-15 21:24:46,Housekeeping,Standard,35,2025-11-15 23:00:46,Completed,2025-11-15 21:51:46
R0000012,2025-11-15 15:39:28,F&B,Standard,25,2025-11-15 16:45:28,Completed,2025-11-15 16:22:28
R0000013,2025-11-15 19:23:44,Housekeeping,Standard,35,2025-11-15 22:10:44,Completed,2025-11-15 20:13:44
R0000014,2025-11-15 19:14:55,F&B,Standard,25,2025-11-15 21:18:55,Completed,2025-11-15 19:37:55
R0000015,2025-11-15 22:12:10,F&B,Standard,25,2025-11-16 01:01:10,Open,
R0000016,2025-11-15 08:03:59,FrontDesk,Standard,12,2025-11-15 09:13:59,Completed,2025-11-15 08:14:59
R0000017,2025-11-15 19:24:26,F&B,Standard,25,2025-11-15 21:49:26,Completed,2025-11-15 19:57:26
R0000018,2025-11-15 19:38:51,F&B,Standard,25,2025-11-15 22:24:51,Completed,2025-11-15 20:01:51
R0000019,2025-11-15 17:17:37,F&B,Standard,25,2025-11-15 19:10:37,Completed,2025-11-15 18:00:37
R0000020,2025-11-15 19:46:14,Housekeeping,Standard,35,2025-11-15 22:28:14,Completed,2025-11-15 20:45:14
R0000021,2025-11-15 18:59:44,Housekeeping,Standard,35,2025-11-15 20:13:44,Completed,2025-11-15 19:14:44
R0000022,2025-11-15 11:08:05,Housekeeping,Standard,35,2025-11-15 13:19:05,Completed,2025-11-15 11:40:05
R0000023,2025-11-15 14:17:45,Housekeeping,Standard,35,2025-11-15 15:35:45,Open,
R0000024,2025-11-15 12:45:20,Maintenance,Standard,55,2025-11-15 14:15:20,Completed,2025-11-15 13:55:20
R0000025,2025-11-15 16:59:40,Maintenance,Standard,55,2025-11-15 19:39:40,Completed,2025-11-15 18:12:40
R0000026,2025-11-15 17:59:10,Housekeeping,Standard,35,2025-11-15 20:00:10,Completed,2025-11-15 18:51:10
R0000027,2025-11-15 11:20:06,F&B,Standard,25,2025-11-15 13:51:06,Completed,2025-11-15 12:11:06
R0000028,2025-11-15 18:01:13,F&B,Standard,25,2025-11-15 19:54:13,Completed,2025-11-15 18:47:13
R0000029,2025-11-15 11:53:48,Housekeeping,Standard,35,2025-11-15 14:12:48,Completed,2025-11-15 12:45:48
