staff_id,role,shift_date,shift_start,shift_end,planned_minutes,available_minutes,absence_flag
S008,FrontDesk,2025-11-15,07:00,15:00,480,457,0
S007,FrontDesk,2025-11-15,10:00,18:00,480,454,0
S005,FrontDesk,2025-11-15,15:00,23:00,480,467,0
S004,FrontDesk,2025-11-15,07:00,15:00,480,456,0
S001,FrontDesk,2025-11-15,10:00,18:00,480,461,0
S003,FrontDesk,2025-11-15,15:00,23:00,480,467,0
S006,FrontDesk,2025-11-15,07:00,15:00,480,473,0
S009,Housekeeping,2025-11-15,07:00,15:00,480,0,1
S015,Housekeeping,2025-11-15,10:00,18:00,480,466,0
S022,Housekeeping,2025-11-15,15:00,23:00,480,452,0
S018,Housekeeping,2025-11-15,07:00,15:00,480,457,0
S020,Housekeeping,2025-11-15,10:00,18:00,480,452,0
S011,Housekeeping,2025-11-15,15:00,23:00,480,469,0
S010,Housekeeping,2025-11-15,07:00,15:00,480,466,0
S016,Housekeeping,2025-11-15,10:00,18:00,480,476,0
S021,Housekeeping,2025-11-15,15:00,23:00,480,463,0
S013,Housekeeping,2025-11-15,07:00,15:00,480,460,0
S029,F&B,2025-11-15,07:00,15:00,480,476,0
S030,F&B,2025-11-15,10:00,18:00,480,0,1
S028,F&B,2025-11-15,15:00,23:00,480,456,0
S023,F&B,2025-11-15,07:00,15:00,480,460,0
S027,F&B,2025-11-15,10:00,18:00,480,463,0
S025,F&B,2025-11-15,15:00,23:00,480,466,0
S026,F&B,2025-11-15,07:00,15:00,480,473,0
S032,F&B,2025-11-15,10:00,18:00,480,477,0
S033,F&B,2025-11-15,15:00,23:00,480,454,0
S004,FrontDesk,2025-11-16,07:00,15:00,480,450,0
S005,FrontDesk,2025-11-16,10:00,18:00,480,474,0
S006,FrontDesk,2025-11-16,15:00,23:00,480,479,0
S001,FrontDesk,2025-11-16,07:00,15:00,480,0,1
S007,FrontDesk,2025-11-16,10:00,18:00,480,473,0
S003,FrontDesk,2025-11-16,15:00,23:00,480,467,0
S002,FrontDesk,2025-11-16,07:00,15:00,480,460,0
S019,Housekeeping,2025-11-16,07:00,15:00,480,476,0
S018,Housekeeping,2025-11-16,10:00,18:00,480,465,0
S013,Housekeeping,2025-11-16,15:00,23:00,480,459,0
S015,Housekeeping,2025-11-16,07:00,15:00,480,473,0
S022,Housekeeping,2025-11-16,10:00,18:00,480,471,0
S012,Housekeeping,2025-11-16,15:00,23:00,480,451,0
S020,Housekeeping,2025-11-16,07:00,15:00,480,478,0
S021,Housekeeping,2025-11-16,10:00,18:00,480,469,0
S011,Housekeeping,2025-11-16,15:00,23:00,480,452,0
S014,Housekeeping,2025-11-16,07:00,15:00,480,457,0
S032,F&B,2025-11-16,07:00,15:00,480,455,0
S028,F&B,2025-11-16,10:00,18:00,480,463,0
S027,F&B,2025-11-16,15:00,23:00,480,480,0
S024,F&B,2025-11-16,07:00,15:00,480,457,0
S031,F&B,2025-11-16,10:00,18:00,480,471,0
S030,F&B,2025-11-16,15:00,23:00,480,461,0
S029,F&B,2025-11-16,07:00,15:00,480,461,0
S034,F&B,2025-11-16,10:00,18:00,480,478,0
S026,F&B,2025-11-16,15:00,23:00,480,0,1
S003,FrontDesk,2025-11-17,07:00,15:00,480,462,0
S007,FrontDesk,2025-11-17,10:00,18:00,480,450,0
S006,FrontDesk,2025-11-17,15:00,23:00,480,462,0
S002,FrontDesk,2025-11-17,07:00,15:00,480,471,0
S001,FrontDesk,2025-11-17,10:00,18:00,480,480,0
S021,Housekeeping,2025-11-17,07:00,15:00,480,466,0
S015,Housekeeping,2025-11-17,10:00,18:00,480,464,0
S012,Housekeeping,2025-11-17,15:00,23:00,480,464,0
S011,Housekeeping,2025-11-17,07:00,15:00,480,0,1
S009,Housekeeping,2025-11-17,10:00,18:00,480,480,0
S013,Housekeeping,2025-11-17,15:00,23:00,480,453,0
S016,Housekeeping,2025-11-17,07:00,15:00,480,471,0
S020,Housekeeping,2025-11-17,10:00,18:00,480,477,0
S032,F&B,2025-11-17,07:00,15:00,480,473,0
S034,F&B,2025-11-17,10:00,18:00,480,464,0
S028,F&B,2025-11-17,15:00,23:00,480,469,0
S030,F&B,2025-11-17,07:00,15:00,480,451,0
S023,F&B,2025-11-17,10:00,18:00,480,471,0
S024,F&B,2025-11-17,15:00,23:00,480,461,0
S033,F&B,2025-11-17,07:00,15:00,480,465,0
S008,FrontDesk,2025-11-18,07:00,15:00,480,450,0
S002,FrontDesk,2025-11-18,10:00,18:00,480,454,0
S007,FrontDesk,2025-11-18,15:00,23:00,480,453,0
S005,FrontDesk,2025-11-18,07:00,15:00,480,466,0
S004,FrontDesk,2025-11-18,10:00,18:00,480,471,0
S021,Housekeeping,2025-11-18,07:00,15:00,480,477,0
S012,Housekeeping,2025-11-18,10:00,18:00,480,457,0
S010,Housekeeping,2025-11-18,15:00,23:00,480,475,0
S022,Housekeeping,2025-11-18,07:00,15:00,480,479,0
S019,Housekeeping,2025-11-18,10:00,18:00,480,474,0
S011,Housekeeping,2025-11-18,15:00,23:00,480,471,0
S014,Housekeeping,2025-11-18,07:00,15:00,480,450,0
S018,Housekeeping,2025-11-18,10:00,18:00,480,452,0
S033,F&B,2025-11-18,07:00,15:00,480,468,0
S032,F&B,2025-11-18,10:00,18:00,480,474,0
S025,F&B,2025-11-18,15:00,23:00,480,478,0
S030,F&B,2025-11-18,07:00,15:00,480,458,0
S024,F&B,2025-11-18,10:00,18:00,480,463,0
S023,F&B,2025-11-18,15:00,23:00,480,452,0
S031,F&B,2025-11-18,07:00,15:00,480,476,0
S002,FrontDesk,2025-11-19,07:00,15:00,480,0,1
S007,FrontDesk,2025-11-19,10:00,18:00,480,476,0
S008,FrontDesk,2025-11-19,15:00,23:00,480,461,0
S003,FrontDesk,2025-11-19,07:00,15:00,480,457,0
S004,FrontDesk,2025-11-19,10:00,18:00,480,468,0
S013,Housekeeping,2025-11-19,07:00,15:00,480,455,0
S018,Housekeeping,2025-11-19,10:00,18:00,480,470,0
S019,Housekeeping,2025-11-19,15:00,23:00,480,464,0
S017,Housekeeping,2025-11-19,07:00,15:00,480,457,0
S010,Housekeeping,2025-11-19,10:00,18:00,480,462,0
S014,Housekeeping,2025-11-19,15:00,23:00,480,452,0
S015,Housekeeping,2025-11-19,07:00,15:00,480,467,0
S020,Housekeeping,2025-11-19,10:00,18:00,480,472,0
S026,F&B,2025-11-19,07:00,15:00,480,469,0
S031,F&B,2025-11-19,10:00,18:00,480,476,0
S024,F&B,2025-11-19,15:00,23:00,480,452,0
S025,F&B,2025-11-19,07:00,15:00,480,476,0
S034,F&B,2025-11-19,10:00,18:00,480,476,0
S032,F&B,2025-11-19,15:00,23:00,480,472,0
S033,F&B,2025-11-19,07:00,15:00,480,464,0
S002,FrontDesk,2025-11-20,07:00,15:00,480,456,0
S006,FrontDesk,2025-11-20,10:00,18:00,480,468,0
S004,FrontDesk,2025-11-20,15:00,23:00,480,458,0
S001,FrontDesk,2025-11-20,07:00,15:00,480,453,0
S008,FrontDesk,2025-11-20,10:00,18:00,480,465,0
S019,Housekeeping,2025-11-20,07:00,15:00,480,478,0
S022,Housekeeping,2025-11-20,10:00,18:00,480,455,0
S011,Housekeeping,2025-11-20,15:00,23:00,480,459,0
S021,Housekeeping,2025-11-20,07:00,15:00,480,477,0
S020,Housekeeping,2025-11-20,10:00,18:00,480,473,0
S010,Housekeeping,2025-11-20,15:00,23:00,480,450,0
S016,Housekeeping,2025-11-20,07:00,15:00,480,461,0
S018,Housekeeping,2025-11-20,10:00,18:00,480,461,0
S027,F&B,2025-11-20,07:00,15:00,480,461,0
S026,F&B,2025-11-20,10:00,18:00,480,467,0
S023,F&B,2025-11-20,15:00,23:00,480,466,0
S031,F&B,2025-11-20,07:00,15:00,480,470,0
S029,F&B,2025-11-20,10:00,18:00,480,469,0
S028,F&B,2025-11-20,15:00,23:00,480,467,0
S034,F&B,2025-11-20,07:00,15:00,480,469,0
S001,FrontDesk,2025-11-21,07:00,15:00,480,470,0
S005,FrontDesk,2025-11-21,10:00,18:00,480,465,0
S002,FrontDesk,2025-11-21,15:00,23:00,480,460,0
S007,FrontDesk,2025-11-21,07:00,15:00,480,457,0
S006,FrontDesk,2025-11-21,10:00,18:00,480,461,0
S015,Housekeeping,2025-11-21,07:00,15:00,480,458,0
S014,Housekeeping,2025-11-21,10:00,18:00,480,458,0
S021,Housekeeping,2025-11-21,15:00,23:00,480,476,0
S009,Housekeeping,2025-11-21,07:00,15:00,480,468,0
S011,Housekeeping,2025-11-21,10:00,18:00,480,462,0
S017,Housekeeping,2025-11-21,15:00,23:00,480,452,0
S010,Housekeeping,2025-11-21,07:00,15:00,480,451,0
S022,Housekeeping,2025-11-21,10:00,18:00,480,479,0
S023,F&B,2025-11-21,07:00,15:00,480,464,0
S026,F&B,2025-11-21,10:00,18:00,480,465,0
S034,F&B,2025-11-21,15:00,23:00,480,454,0
S032,F&B,2025-11-21,07:00,15:00,480,477,0
S029,F&B,2025-11-21,10:00,18:00,480,465,0
S027,F&B,2025-11-21,15:00,23:00,480,460,0
S024,F&B,2025-11-21,07:00,15:00,480,474,0
S031,F&B,2025-11-21,10:00,18:00,480,460,0
S008,FrontDesk,2025-11-22,07:00,15:00,480,476,0
S007,FrontDesk,2025-11-22,10:00,18:00,480,458,0
S002,FrontDesk,2025-11-22,15:00,23:00,480,469,0
S006,FrontDesk,2025-11-22,07:00,15:00,480,451,0
